,val
1666,-39
1667,-29
1668,-29
1669,-29
1670,-29
1671,-29
1672,-29
1673,-29
1674,-29
1675,-29
1676,-29
1677,-29
1678,-29
1679,-29
1680,-29
1681,-29
1682,-24
1683,-34
1684,-34
1685,-34
1686,-48
1687,-73
1688,-107
1689,-107
1690,-117
1691,-92
1692,-58
1693,9
1694,92
1695,204
1696,331
1697,497
1698,649
1699,780
1700,902
1701,1029
1702,1088
1703,1107
1704,995
1705,756
1706,439
1707,136
1708,-82
1709,-224
1710,-248
1711,-204
1712,-156
1713,-131
1714,-92
1715,-53
1716,-48
1717,-39
1718,-19
1719,-19
1720,-9
1721,-9
1722,-4
1723,0
1724,9
1725,4
1726,4
1727,-4
1728,-19
1729,-19
1730,-19
1731,-14
1732,-9
1733,-9
1734,-4
1735,-4
1736,-9
1737,-9
1738,-9
1739,-4
1740,4
1741,4
1742,9
1743,9
1744,9
1745,9
1746,9
1747,9
1748,24
1749,24
1750,24
1751,34
1752,24
1753,24
1754,24
1755,24
1756,24
1757,24
1758,24
1759,24
1760,24
1761,24
1762,24
1763,24
1764,34
1765,39
1766,39
1767,43
1768,34
1769,34
1770,34
1771,34
1772,34
1773,39
1774,39
1775,48
1776,48
1777,48
1778,43
1779,43
1780,43
1781,53
1782,53
1783,53
1784,68
1785,68
1786,68
1787,73
1788,63
1789,73
1790,78
1791,82
1792,97
1793,97
1794,97
1795,102
1796,97
1797,102
1798,117
1799,117
1800,122
1801,131
1802,136
1803,136
1804,151
1805,156
1806,161
1807,175
1808,185
1809,200
1810,200
1811,204
1812,204
1813,214
1814,219
1815,234
1816,234
1817,239
1818,244
1819,244
1820,248
1821,248
1822,253
1823,258
1824,263
1825,263
1826,263
1827,263
1828,263
1829,263
1830,263
1831,268
1832,258
1833,258
1834,248
1835,244
1836,239
1837,224
1838,214
1839,204
1840,185
1841,180
1842,165
1843,156
1844,136
1845,131
1846,122
1847,112
1848,102
1849,92
1850,87
1851,78
1852,78
1853,68
1854,63
1855,53
1856,53
1857,48
1858,43
1859,39
1860,34
1861,29
1862,24
1863,19
1864,9
1865,9
1866,9
1867,9
1868,4
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,9
1877,9
1878,9
1879,4
1880,-4
1881,-4
1882,-4
1883,-4
1884,-4
1885,-4
1886,-4
1887,-4
1888,-4
1889,-9
1890,-9
1891,-9
1892,-9
1893,-9
1894,-9
1895,-9
1896,-9
1897,-9
1898,-9
1899,-9
1900,-9
1901,-9
1902,-9
1903,-9
1904,-9
1905,-9
1906,-9
1907,-9
1908,-9
1909,-9
1910,-9
1911,-4
1912,-14
1913,-14
1914,-14
1915,-14
1916,-4
1917,-4
1918,-4
1919,-4
1920,-4
1921,-4
1922,-4
1923,-4
1924,4
1925,4
1926,9
1927,9
1928,9
1929,9
1930,9
1931,9
1932,9
1933,9
1934,9
1935,9
1936,9
1937,9
1938,9
1939,9
1940,9
1941,9
1942,9
1943,9
1944,9
1945,9
1946,9
1947,9
1948,9
1949,9
1950,19
1951,19
1952,24
1953,29
1954,34
1955,39
1956,39
1957,39
1958,39
1959,48
1960,48
1961,48
1962,48
1963,48
1964,53
1965,53
1966,53
1967,53
1968,53
1969,58
1970,63
1971,63
1972,63
1973,63
1974,63
1975,63
1976,63
1977,63
1978,63
1979,58
1980,48
1981,43
1982,39
1983,34
1984,29
1985,24
1986,19
1987,14
1988,9
1989,-4
1990,-9
1991,-9
1992,-14
1993,-14
1994,-14
1995,-19
1996,-19
1997,-14
1998,-14
1999,-14
2000,-19
2001,-19
2002,-19
2003,-19
2004,-19
2005,-19
2006,-24
2007,-24
2008,-24
2009,-14
2010,-14
2011,-14
2012,-14
2013,-14
2014,-14
2015,-14
2016,-19
2017,-19
2018,-19
2019,-19
2020,-19
2021,-29
2022,-29
2023,-29
2024,-29
2025,-19
2026,-19
2027,-19
2028,-19
2029,-19
2030,-19
2031,-19
2032,-14
2033,-14
2034,-14
2035,-34
2036,-58
2037,-82
2038,-97
2039,-117
2040,-97
2041,-73
2042,-19
2043,58
2044,151
2045,283
2046,439
2047,595
2048,746
2049,888
2050,1019
2051,1098
2052,1127
2053,1029
2054,790
2055,483
2056,185
2057,-29
2058,-161
2059,-195
2060,-161
2061,-126
2062,-117
2063,-92
2064,-63
2065,-53
2066,-39
2067,-19
2068,-19
2069,0
2070,0
2071,0
2072,4
2073,9
2074,9
2075,4
2076,4
2077,-4
2078,0
2079,0
2080,0
2081,4
2082,9
2083,9
2084,14
2085,14
2086,9
2087,9
2088,9
2089,14
2090,4
2091,4
2092,9
2093,9
2094,19
2095,19
2096,19
2097,19
2098,14
2099,14
2100,14
2101,24
2102,14
2103,14
2104,14
2105,14
2106,24
2107,24
2108,24
2109,24
2110,24
2111,24
2112,24
2113,24
2114,24
2115,29
2116,29
2117,34
2118,34
2119,34
2120,34
2121,34
2122,34
2123,39
2124,39
2125,48
2126,48
2127,48
2128,43
2129,43
2130,43
2131,53
2132,53
2133,53
2134,58
2135,58
2136,58
2137,63
2138,63
2139,73
2140,78
2141,82
2142,87
2143,87
2144,87
2145,92
2146,97
2147,102
2148,117
2149,117
2150,122
2151,131
2152,136
2153,136
2154,151
2155,156
2156,161
2157,175
2158,175
2159,190
2160,190
2161,195
2162,204
2163,214
2164,219
2165,234
2166,234
2167,239
2168,244
2169,244
2170,248
2171,248
2172,253
2173,258
2174,263
2175,263
2176,263
2177,263
2178,263
2179,263
2180,263
2181,268
2182,258
2183,258
2184,248
2185,244
2186,239
2187,224
2188,214
2189,204
2190,195
2191,190
2192,175
2193,165
2194,146
2195,141
2196,131
2197,122
2198,112
2199,102
2200,97
2201,87
2202,78
2203,68
2204,63
2205,53
2206,53
2207,48
2208,43
2209,39
2210,34
2211,29
2212,24
2213,19
2214,19
2215,19
2216,19
2217,19
2218,14
2219,9
2220,9
2221,9
2222,9
2223,9
2224,9
2225,9
2226,9
2227,9
2228,9
2229,4
2230,4
2231,4
2232,4
2233,4
2234,4
2235,4
2236,4
2237,4
2238,4
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,9
2259,9
2260,9
2261,14
2262,14
2263,14
2264,14
2265,14
2266,14
2267,14
2268,14
2269,14
2270,24
2271,24
2272,24
2273,24
2274,24
2275,24
2276,29
2277,29
2278,19
2279,19
2280,19
2281,19
2282,19
2283,19
2284,19
2285,19
2286,19
2287,19
2288,19
2289,19
2290,19
2291,19
2292,19
2293,19
2294,19
2295,19
2296,19
2297,19
2298,19
2299,19
2300,19
2301,19
2302,29
2303,29
2304,34
2305,39
2306,43
2307,48
2308,48
2309,48
2310,48
2311,58
2312,58
2313,58
2314,58
2315,58
2316,63
2317,63
2318,63
2319,63
2320,63
2321,68
2322,73
2323,73
2324,73
2325,73
2326,73
2327,73
2328,73
2329,73
2330,73
2331,68
2332,58
2333,53
2334,48
2335,43
2336,39
2337,34
2338,29
2339,24
2340,19
2341,14
2342,9
2343,9
2344,4
2345,4
2346,4
2347,0
2348,0
2349,-4
2350,-4
2351,-4
2352,-9
2353,-9
2354,-9
2355,-9
2356,-9
2357,-19
2358,-24
2359,-24
2360,-24
2361,-24
2362,-24
2363,-24
2364,-24
2365,-24
2366,-24
2367,-24
2368,-29
2369,-19
2370,-19
2371,-19
2372,-19
2373,-19
2374,-19
2375,-19
2376,-19
2377,-19
2378,-19
2379,-19
2380,-19
2381,-29
2382,-29
2383,-29
2384,-24
2385,-24
2386,-24
2387,-24
2388,-39
2389,-63
2390,-87
2391,-97
2392,-97
2393,-82
2394,-48
2395,19
2396,102
2397,204
2398,341
2399,507
2400,658
2401,790
2402,922
2403,1049
2404,1117
2405,1127
2406,1024
2407,785
2408,468
2409,175
2410,-43
2411,-185
2412,-219
2413,-165
2414,-126
2415,-112
2416,-73
2417,-43
2418,-29
2419,-19
2420,-9
2421,0
2422,0
2423,0
2424,4
2425,9
2426,19
2427,14
2428,14
2429,4
2430,-9
2431,-9
2432,-9
2433,-4
2434,0
2435,0
2436,4
2437,4
2438,0
2439,0
2440,0
2441,4
2442,4
2443,4
2444,9
2445,9
2446,0
2447,0
2448,0
2449,0
2450,14
2451,14
2452,14
2453,24
2454,14
2455,14
2456,14
2457,14
2458,24
2459,24
2460,24
2461,24
2462,24
2463,24
2464,24
2465,24
2466,24
2467,29
2468,29
2469,34
2470,34
2471,34
2472,34
2473,34
2474,34
2475,39
2476,39
2477,48
2478,48
2479,48
2480,43
2481,43
2482,43
2483,53
2484,53
2485,53
2486,68
2487,68
2488,68
2489,73
2490,63
2491,73
2492,78
2493,82
2494,87
2495,87
2496,87
2497,92
2498,97
2499,102
2500,117
2501,117
2502,131
2503,141
2504,146
2505,146
2506,151
2507,156
2508,161
2509,175
2510,185
2511,200
2512,200
2513,204
2514,204
2515,214
2516,219
2517,234
2518,244
2519,248
2520,253
2521,253
2522,248
2523,248
2524,253
2525,258
2526,273
2527,273
2528,273
2529,273
2530,263
2531,263
2532,263
2533,268
2534,278
2535,278
2536,268
2537,263
2538,258
2539,244
2540,234
2541,224
2542,214
2543,209
2544,195
2545,185
2546,165
2547,161
2548,151
2549,141
2550,131
2551,122
2552,117
2553,107
2554,87
2555,78
2556,73
2557,63
2558,73
2559,68
2560,63
2561,58
2562,43
2563,39
2564,34
2565,29
2566,39
2567,39
2568,39
2569,39
2570,34
2571,29
2572,29
2573,29
2574,19
2575,19
2576,19
2577,19
2578,19
2579,19
2580,19
2581,14
2582,14
2583,14
2584,14
2585,14
2586,14
2587,14
2588,14
2589,14
2590,14
2591,9
2592,9
2593,9
2594,9
2595,9
2596,9
2597,9
2598,9
2599,9
2600,9
2601,9
2602,9
2603,9
2604,9
2605,9
2606,9
2607,9
2608,9
2609,9
2610,0
2611,0
2612,0
2613,4
2614,4
2615,4
2616,4
2617,4
2618,4
2619,4
2620,4
2621,4
2622,-4
2623,-4
2624,-4
2625,-4
2626,-4
2627,-4
2628,0
2629,0
2630,9
2631,9
2632,9
2633,9
2634,9
2635,9
2636,9
2637,9
2638,9
2639,9
2640,9
2641,9
2642,9
2643,9
2644,9
2645,9
2646,9
2647,9
2648,9
2649,9
2650,9
2651,19
2652,19
2653,24
2654,19
2655,24
2656,29
2657,29
2658,39
2659,39
2660,48
2661,48
2662,48
2663,48
2664,48
2665,53
2666,53
2667,53
2668,53
2669,53
2670,58
2671,63
2672,63
2673,63
2674,63
2675,63
2676,63
2677,63
2678,63
2679,63
2680,58
2681,48
2682,43
2683,39
2684,34
2685,29
2686,24
2687,19
2688,14
2689,9
2690,4
2691,0
2692,0
2693,-4
2694,-14
2695,-14
2696,-19
2697,-19
2698,-24
2699,-24
2700,-24
2701,-29
2702,-29
2703,-29
2704,-29
2705,-29
2706,-29
2707,-34
2708,-34
2709,-34
2710,-34
2711,-34
2712,-34
2713,-34
2714,-34
2715,-34
2716,-34
2717,-39
2718,-29
2719,-29
2720,-29
2721,-29
2722,-39
2723,-39
2724,-39
2725,-39
2726,-39
2727,-39
2728,-39
2729,-39
2730,-39
2731,-39
2732,-39
2733,-34
2734,-34
2735,-34
2736,-43
2737,-58
2738,-73
2739,-107
2740,-117
2741,-117
2742,-92
2743,-58
2744,9
2745,82
2746,195
2747,331
2748,488
2749,639
2750,771
2751,893
2752,1010
2753,1078
2754,1098
2755,985
2756,746
2757,419
2758,126
2759,-92
2760,-234
2761,-258
2762,-204
2763,-165
2764,-131
2765,-92
2766,-63
2767,-48
2768,-39
2769,-29
2770,-19
2771,-19
2772,-19
2773,-14
2774,-9
2775,0
2776,-4
2777,-4
2778,-14
2779,-19
2780,-19
2781,-19
2782,-14
2783,0
2784,0
2785,4
2786,4
2787,0
2788,0
2789,0
2790,4
2791,4
2792,4
2793,9
2794,9
2795,9
2796,9
2797,9
2798,9
2799,14
2800,14
2801,14
2802,24
2803,14
2804,14
2805,14
2806,14
2807,24
2808,24
2809,24
2810,24
2811,14
2812,14
2813,14
2814,14
2815,24
2816,29
2817,29
2818,34
2819,34
2820,34
2821,34
2822,34
2823,34
2824,39
2825,39
2826,48
2827,48
2828,48
2829,43
2830,43
2831,43
2832,53
2833,53
2834,53
2835,58
2836,58
2837,58
2838,63
2839,63
2840,73
2841,78
2842,82
2843,87
2844,87
2845,87
2846,92
2847,97
2848,102
2849,117
2850,117
